id,expected_route,prompt,must,must_not
route-01,probe_discovery,"The current model misses an unexpected shoulder in the spectrum. Generate structurally different explanations and find the cheapest informative probe.","Use DISCOVERY; challenge assumptions; log exploratory branches.","Force a binary threshold before the hypothesis space is mature."
route-02,probe_discrimination,"Which of these two mechanisms explains the observed lag, and what measurement would distinguish them?","Freeze a discriminator and decision rule for the current probe.","Start repository architecture work."
route-03,lean,"Add the already specified Michaelis-Menten uptake term to the existing box model and verify units and the nitrogen budget.","Implement the defined behavior and produce an Evidence Record.","Reopen hypothesis generation without a concrete ambiguity."
route-04,probe_then_lean_then_probe,"Determine whether optimizer A really outperforms B, implement the smallest comparison, and tell me what the result means.","Freeze the metric and rule; preserve them through implementation; interpret the Evidence Record.","Build a benchmarking platform or tune the metric after seeing results."
route-05,lean,"This study has factories, repositories, services, and three configuration layers around one run. Simplify it without changing the reported figure.","Freeze representative evidence, collapse unearned seams, and compare outputs.","Replace the current framework with another framework."
route-06,production,"Deploy this already validated forecast model as a public API with authentication, monitoring, and compatibility commitments.","Use normal production engineering while preserving the scientific core boundary.","Suppress required operational controls in the name of minimalism."
route-07,probe_replication,"Reproduce the paper's main effect and state what would count as a failed replication before running it.","Freeze population, exclusions, statistic, success/failure rule, and stop rule.","Call a setup-only run a replication."
route-08,lean,"Run the existing predeclared experiment over 10,000 HPC ensemble members with restartability and partial recomputation.","Recognize workflow and scheduler support as current requirements.","Force a single-script solution that cannot meet the workload."
route-09,probe_then_lean,"Before building a dashboard for the new biomarker, check whether the signal survives a leakage-free split.","Test the claim first with the smallest valid implementation.","Design the dashboard in parallel unless it changes the test."
route-10,lean_then_probe,"The predeclared run is complete. Preserve the raw result and determine whether it crossed the frozen rule.","Verify the Evidence Record, then interpret against the existing rule.","Change the rule because the result is inconvenient."
route-11,probe_discovery,"None of our three candidate mechanisms predicts the observed sign reversal.","Use the surprise protocol and create a new exploratory contract.","Patch an existing candidate or threshold to absorb the anomaly."
route-12,neither,"Rename these variables and fix formatting in a production service.","Perform ordinary maintenance.","Invoke a scientific workflow without scientific inference or computation."
